source_url	parsed_url
https://www.politico.com/tipsheets/morning-money	https://static.politico.com/dims4/default/27ede68/2147483647/legacy_thumbnail/72x72/quality/90/?url=https%3A%2F%2Fstatic.politico.com%2Fcf%2F05%2Fee684a274496b04fa20ba2978da1%2Fpolitico.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2020/06/15/inspectors-general-congress-coronavirus-321086
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/finance
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/transportation
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2020/06/16/justice-department-sues-to-block-bolton-memoir-323753
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/politico-nightly-coronavirus-special-edition
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2020/06/16/congress-small-business-loan-320625
https://www.politico.com/tipsheets/morning-money	https://www.instagram.com/politico/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/the-long-game?cid=mkt_the_long_game_newsletter_newsletters_morganstanley
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tag/us-china-relations
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/faq
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/magazine
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/safari-pinned-tab.svg
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/subscribe/breaking-news-alerts
https://www.politico.com/tipsheets/morning-money	https://static.politico.com/cf/05/ee684a274496b04fa20ba2978da1/politico.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2020/06/15/supreme-court-lgbt-rights-decision-319693
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/morning-money/2020/06/11/mnuchin-ready-to-deal-on-new-economic-package-788431
https://www.politico.com/tipsheets/morning-money	https://www.cnbc.com/2020/06/15/coronavirus-update-eidl-loan-applications-no-longer-limited-to-agriculture.html
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/states/new-york
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/live-events/about
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/video
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/about-us
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/sustainability
https://www.politico.com/tipsheets/morning-money	https://subscriber.politicopro.com/article/2020/06/sba-urges-ppp-lenders-to-serve-businesses-in-most-need-of-help-3981549
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2020-elections
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/blogs/politico-press
https://www.politico.com/tipsheets/morning-money	https://www.politico.com//_login?base=https%3A%2F%2Fwww.politico.com&amp;redirect=%2F_login&amp;logout=%2F_logout&amp;lRedirect=true&amp;sRedirect=%2Fsettings&amp;js=false
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/apple-touch-icon-152x152.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/apple-touch-icon-180x180.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/2020-election/race-forecasts-and-predictions/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/rich-lowry
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/apple-touch-icon-72x72.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/cdn-cgi/l/email-protection#304a4751425d52425f544470405f5c594459535f1e535f5d
https://www.politico.com/tipsheets/morning-money	https://equitablegrowth.org/?p=57957&amp;post_type=press&amp;preview=1&amp;_ppp=3bab173be9
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/matt-wuerker
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/huddle/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/morning-money/2020/06/16/democrats-launch-bank-probe-788541
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/advertising
https://www.politico.com/tipsheets/morning-money	https://policies.google.com/privacy
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/privacy-policy
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/cdn-cgi/l/email-protection#d9b8aebcb8afbcab99a9b6b5b0adb0bab6f7bab6b4
https://www.politico.com/tipsheets/morning-money	https://static.politico.com/dims4/default/59ee5a3/2147483647/legacy_thumbnail/114x114/quality/90/?url=https%3A%2F%2Fstatic.politico.com%2Fcf%2F05%2Fee684a274496b04fa20ba2978da1%2Fpolitico.png
https://www.politico.com/tipsheets/morning-money	https://secure.politico.com/payment
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/states/new-jersey
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/ehealth
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/politics
https://www.mediamatters.org/	https://www.mediamatters.org/tucker-carlson/tucker-carlson-gives-friendly-interview-officer-who-said-black-people-probably-ought
https://www.mediamatters.org/	https://www.mediamatters.org/job-openings
https://www.mediamatters.org/	https://www.mediamatters.org/crime-and-criminal-justice/fox-news-runs-another-unproven-police-allegation-protester-criminality
https://www.mediamatters.org/	https://www.mediamatters.org/#article
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/jk-rowlings-anti-trans-tweets-become-ammo-right-wing-media-attacks-trans-folks
https://www.mediamatters.org/	https://www.mediamatters.org/fox-friends/fox-host-brian-kilmeade-warns-against-showing-kindness-protesters-and-defends-qualified
https://www.mediamatters.org/	https://twitter.com/mmfa
https://www.mediamatters.org/	https://www.mediamatters.org/tucker-carlson/after-his-bigoted-rants-about-police-brutality-marches-tucker-carlson-has-lost-five
https://www.mediamatters.org/	https://www.mediamatters.org/qanon-conspiracy-theory/qanon-candidate-marjorie-taylor-greene-has-been-paying-big-money-consultant
https://www.mediamatters.org/	https://www.mediamatters.org/rush-limbaugh/rush-limbaugh-praises-president-being-clever-sharing-conspiracy-theories
https://www.mediamatters.org/	https://www.mediamatters.org/these-are-tucker-carlsons-leading-advertisers
https://www.mediamatters.org/	https://www.mediamatters.org/search
https://www.mediamatters.org/	https://use.typekit.net/jqh3ujo.css
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/tucker-carlson-rayshard-brooks-unjustified-police-killings-have-happened-america-not-one
https://www.mediamatters.org/	https://www.mediamatters.org/voter-fraud-and-suppression/network-news-cover-georgia-election-meltdown-mixed-results
https://www.mediamatters.org/	https://www.mediamatters.org/sites/default/files/css/css_oGZ7OLJDM4FApNs8xyoZMUIkjUZCXrNP16OA9NXAcMA.css
https://www.mediamatters.org/	https://www.mediamatters.org/corrections
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/broadcast-and-cable-news-are-ignoring-brazen-big-polluter-agenda-happening
https://www.mediamatters.org/	https://www.mediamatters.org/facebook/bombshell-report-facebook-has-known-it-fomenting-extremism-years-and-refuses-stop
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/anti-abortion-misinformation-promoted-during-coronavirus-pandemic
https://www.mediamatters.org/	https://www.mediamatters.org/
https://www.mediamatters.org/	https://www.mediamatters.org/tucker-carlson/tucker-carlson-defends-oklahoma-state-coach-mike-gundy-amid-uproar-over-his-support
https://www.mediamatters.org/	https://www.mediamatters.org/terms-conditions
https://www.mediamatters.org/	https://www.mediamatters.org/joe-scarborough/joe-scarborough-conspiracy-theory-donald-trump-sending-mob-boss-message
https://www.mediamatters.org/	https://www.mediamatters.org/#video
https://www.mediamatters.org/	https://www.mediamatters.org/sites/default/files/css/css_vUt0GK4OfEXUi5i0VJuEV9nf8bDJwmJWZVb1Ca5G1yM.css
https://www.mediamatters.org/	https://www.mediamatters.org/audio-video
https://www.mediamatters.org/	https://www.mediamatters.org/supreme-court/gerald-bostock-surviving-plaintiff-landmark-lgbtq-rights-cases-there-no-room-world
https://www.mediamatters.org/	https://www.mediamatters.org/trumprussia/richard-grenells-flynn-unmasking-noninformation-campaign
https://www.mediamatters.org/	https://www.mediamatters.org/black-lives-matter/fox-news-contributor-seattle-protests-fights-coming-your-front-door-every-single
https://www.mediamatters.org/	https://www.mediamatters.org/black-lives-matter/recent-reporting-nypd-conduct-shows-why-reporters-must-independently-verify
https://www.mediamatters.org/	https://www.mediamatters.org/sean-hannity/fox-news-ignoring-trumps-conspiracy-theory-about-joe-scarborough-while-sean-hannity
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/how-fox-figures-defend-racist-monuments
https://www.mediamatters.org/	https://www.mediamatters.org/black-lives-matter/sinclair-reporters-pushed-debunked-myths-national-segments-police-violence
https://www.mediamatters.org/	https://www.mediamatters.org/facebook/heres-data-facebooks-bias-report-doesnt-show-you
https://www.mediamatters.org/	https://www.mediamatters.org/climate-energy
https://www.mediamatters.org/	https://www.mediamatters.org/broadcast-networks/three-years-corporate-broadcast-news-hurricane-coverage-failed-mention-specific
https://www.mediamatters.org/	https://www.youtube.com/channel/UC_70iWZ6ym2cglS_kv5YfmA
https://www.mediamatters.org/	https://www.mediamatters.org/#twitter
https://www.mediamatters.org/	https://www.mediamatters.org/about
https://www.mediamatters.org/	https://www.mediamatters.org/archives
https://www.mediamatters.org/	https://action.mediamatters.org/secure/donate
https://www.mediamatters.org/	https://www.mediamatters.org/#study
https://www.mediamatters.org/	https://www.mediamatters.org/sean-hannity/these-are-sean-hannitys-leading-advertisers
https://www.mediamatters.org/	https://www.mediamatters.org/laura-ingraham/laura-ingraham-democrats-are-calling-trump-racist-zero-evidence
https://www.mediamatters.org/	https://www.mediamatters.org/studies
https://www.mediamatters.org/	https://www.mediamatters.org/lgbtq
https://www.mediamatters.org/	https://www.mediamatters.org/guns-public-safety
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-contributor-justifies-trail-tears-it-was-ugly-those-were-times
https://www.mediamatters.org/	https://www.mediamatters.org/abortion-rights-and-reproductive-health
https://www.mediamatters.org/	https://www.instagram.com/mediamattersforamerica/
https://www.mediamatters.org/	https://www.facebook.com/Mediamatters/
https://www.mediamatters.org/	https://www.mediamatters.org/geraldo-rivera/foxs-geraldo-rivera-fudges-history-juneteenth
https://www.mediamatters.org/	https://www.mediamatters.org/#facebook
https://www.mediamatters.org/	https://www.mediamatters.org/submissions
https://www.mediamatters.org/	https://www.mediamatters.org/privacy
https://www.mediamatters.org/	https://www.mediamatters.org/news-analysis
https://www.mediamatters.org/	https://www.mediamatters.org/#audio
https://www.mediamatters.org/	https://www.mediamatters.org/michael-savage/president-trump-speaks-bigoted-right-wing-radio-host-michael-savage
https://www.mediamatters.org/	https://www.mediamatters.org/tucker-carlson/tucker-carlson-returns-fox-news-advertisers-are-staying-away
https://www.mediamatters.org/	https://www.mediamatters.org/justice-civil-liberties/fox-news-coverage-police-brutality-protests-conspiratorial-fact-averse-mess
https://www.mediamatters.org/	https://www.mediamatters.org/trumprussia/fox-news-why-trump-thinks-he-can-get-away-nixonian-corruption-barrs-doj
https://www.mediamatters.org/	https://www.mediamatters.org/greg-gutfeld/fox-host-dismisses-police-brutality-against-black-people-instead-blames-videos-sending
https://www.mediamatters.org/	https://www.mediamatters.org/tucker-carlson/tucker-carlson-promotes-anti-abortion-myth-about-black-genocide-downplay-police
https://www.mediamatters.org/	https://www.mediamatters.org/#tumblr
https://www.mediamatters.org/	https://www.mediamatters.org/msnbc/msnbc-glaads-sarah-kate-ellis-says-lgbtq-americans-still-need-full-protections-discrimination
https://www.mediamatters.org/	https://www.mediamatters.org/cnn/cnn-trans-advocate-gillian-branstetter-highlights-work-left-do-ensure-safety-transgender-people
https://www.mediamatters.org/	https://www.mediamatters.org/mike-pence/vp-mike-pence-claims-during-fox-news-appearance-media-oppose-trumps-re-election-present
https://www.mediamatters.org/	https://www.mediamatters.org/black-lives-matter/right-wing-media-argue-rayshard-brooks-police-slaying-was-justified-blame-him
https://www.mediamatters.org/	https://www.mediamatters.org/glenn-beck/glenn-beck-calls-george-soros-dark-lord
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/these-are-laura-ingrahams-leading-advertisers
https://www.mediamatters.org/	https://mediamattersforamerica.tumblr.com/
https://www.mediamatters.org/	https://www.mediamatters.org/michael-savage/michael-savage-allows-trump-claim-people-may-hold-mailmen-steal-vote-mail-ballots
https://www.mediamatters.org/	https://www.mediamatters.org/contact-us
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-anchors-mock-cohost-when-he-points-out-white-supremacists-have-been-arrested-plotting
